Threads,Time,ExitCode
1,53.5123,0
1,58.202,0
1,53.9297,0
1,54.1576,0
2,34.1208,0
2,34.8148,0
2,34.9432,0
2,38.5984,0
4,25.9075,0
4,27.0141,0
4,28.5093,0
4,31.243,0
8,27.599,0
8,24.341,0
8,26.0078,0
8,28.6052,0
16,25.7192,0
16,25.3966,0
16,25.8992,0
16,30.3357,0
32,29.1687,0
32,27.1867,0
32,26.6416,0
32,27.8297,0
