Threads,Time,ExitCode
1,15.8978,0
1,16.1503,0
1,15.9639,0
1,14.634,0
2,8.06372,0
2,8.12661,0
2,8.54089,0
2,8.72844,0
4,5.51662,0
4,5.74124,0
4,5.55211,0
4,5.65472,0
8,3.9555,0
8,3.9484,0
8,3.89423,0
8,4.07419,0
16,3.60687,0
16,4.48858,0
16,4.1424,0
16,3.96339,0
32,3.72132,0
32,4.91348,0
32,3.88982,0
32,3.82797,0
