Threads,Time,ExitCode
1,15.2258,0
1,16.0477,0
1,15.9607,0
1,15.5053,0
2,8.19179,0
2,8.58386,0
2,8.42897,0
2,8.3295,0
4,5.52026,0
4,5.39955,0
4,5.50884,0
4,5.98394,0
8,4.67409,0
8,4.56657,0
8,4.40904,0
8,4.52471,0
16,4.17666,0
16,4.3346,0
16,3.67552,0
16,3.52166,0
32,3.66967,0
32,3.81449,0
32,3.74325,0
32,3.77208,0
